sr_no,Identification_no,Type_ of_mould ,area _of _mould,ingridients_in_paving_sand_In_KG,ingridients_in_paving_plastic_%,Load,Weight ,Compressive_Strength
1,R1,rectangular,29900,0.695,50,461,1.39,15.41
2,R2,rectangular,29900,1.23,60,190,3.87,6.534
3,R3,rectangular,29900,0.6,51,404,1.22,13.528
4,R4,rectangular,29900,2.04,39,517,3.35,17.29
5,R5,rectangular,29900,1.76,49,170,3.46,5.35
6,R6,rectangular,29900,0.532,56,220,1.21,7.358
7,R7,rectangular,29900,0.89,45,250,1.75,8.36
8,R8,rectangular,29900,1.53,62,372,2.93,12.44
9,R9,rectangular,29900,0.72,54,491,1.58,16.42
10,R10,rectangular,29900,1.89,47,193,3.67,6.45
11,R11,rectangular,29900,1.16,52,409,2.1,13.68
12,R12,rectangular,29900,0.91,57,296,1.89,9.9
13,R13,rectangular,29900,2.23,36,571,3.93,19.1
14,R14,rectangular,29900,1.03,49,210,2.4,7.02
15,R15,rectangular,29900,0.64,50,467,1.42,15.62
16,R16,rectangular,29900,1.77,61,387,3.2,12.94
17,R17,rectangular,29900,0.78,53,298,1.66,9.97
18,R18,rectangular,29900,2.14,4.2,599,3.76,20.45
1,B1,hexagon,34359.55,1.535,40,600,2.565,17.462
2,B2,hexagon,34359.55,2.3,30,999,3.375,29.07
3,B3,hexagon,34359.55,2.3,55,718,2.91,14.93
4,B4,hexagon,34359.55,2.3,25,513,3.325,20.89
5,B5,hexagon,34359.55,1.28,48,579,2.47,16.862
6,B6,hexagon,34359.55,1.95,22,621,2.51,18.062
7,B7,hexagon,34359.55,2.26,28,930,3.14,27.05
8,B8,hexagon,34359.55,2.45,32,1069,3.61,31.09
9,B9,hexagon,34359.55,1.43,41,603,2.44,17.532
10,B10,hexagon,34359.55,2.48,29,834,3.5,24.248
11,B11,hexagon,34359.55,0.714,49,465,1.4,13.56
12,B12,hexagon,34359.55,1.95,46,560,3.62,16.3
13,B13,hexagon,34359.55,1.87,53,897,3.19,25.36
14,B14,hexagon,34359.55,2.21,33,1034,3.56,32.78
15,B15,hexagon,34359.55,1.54,43,686,2.68,19.24
16,B16,hexagon,34359.55,1.28,51,712,2.23,14.76
17,B17,hexagon,34359.55,2.11,37,964,3.87,28.63
18,B18,hexagon,34359.55,1.63,46,587,2.99,20.51
